Liberty	289	93.83	18	5.84	1	0.32	0	0.00	0	0.00	271	87.99	308
Lincoln	660	99.40	3	0.45	1	0.15	0	0.00	0	0.00	657	98.95	664
Long	430	95.77	14	3.12	5	1.11	0	0.00	0	0.00	416	92.65	449
Lowndes	1840	94.65	97	4.99	6	0.31	1	0.05	0	0.00	1743	89.66	1944
Lumpkin	924	91.94	81	8.06	0	0.00	0	0.00	0	0.00	843	83.88	1005
Macon	1438	96.06	55	3.67	4	0.27	0	0.00	0	0.00	1383	92.38	1497
Madison	2124	97.88	38	1.75	8	0.37	0	0.00	0	0.00	2086	96.13	2170
Marion	455	94.99	24	5.01	0	0.00	0	0.00	0	0.00	431	89.98	479
McDuffie	568	94.04	29	4.80	7	1.16	0	0.00	0	0.00	539	89.24	604
McIntosh	271	93.45	19	6.55	0	0.00	0	0.00	0	0.00	252	86.90	290
Meriwether	2604	97.82	53	1.99	4	0.15	1	0.04	0	0.00	2551	95.83	2662
Miller	392	98.99	0	0.00	0	0.00	4	1.01	0	0.00	388	97.98	396
Mitchell	2097	99.06	15	0.71	5	0.24	0	0.00	0	0.00	2082	98.35	2117
Monroe	1200	96.31	45	3.61	1	0.08	0	0.00	0	0.00	1155	92.70	1246
Montgomery	868	97.20	17	1.90	8	0.90	0	0.00	0	0.00	851	95.30	893
Morgan	923	91.75	74	7.36	8	0.80	1	0.10	0	0.00	849	84.39	1006
Murray	1874	83.92	350	15.67	9	0.40	0	0.00	0	0.00	1524	68.25	2233
Muscogee	3413	93.07	230	6.27	9	0.25	15	0.41	0	0.00	3183	86.80	3667
Newton	1672	96.82	45	2.61	7	0.41	3	0.17	0	0.00	1627	94.21	1727
Oconee	664	92.48	39	5.43	13	1.81	2	0.28	0	0.00	625	87.05	718
Oglethorpe	1240	97.03	34	2.66	2	0.16	0	0.00	2	0.16	1206	94.37	1278
Paulding	1914	85.98	276	12.40	31	1.39	5	0.22	0	0.00	1638	73.58	2226
Peach	595	90.70	56	8.54	3	0.46	2	0.30	0	0.00	539	82.16	656
Pickens	1472	66.46	743	33.54	0	0.00	0	0.00	0	0.00	729	32.91	2215
Pierce	1094	96.90	29	2.57	6	0.53	0	0.00	0	0.00	1065	94.33	1129
Pike	1021	95.96	33	3.10	10	0.94	0	0.00	0	0.00	988	92.86	1064
Polk	2170	91.14	211	8.86	0	0.00	0	0.00	0	0.00	1959	82.28	2381
Pulaski	973	98.58	14	1.42	0	0.00	0	0.00	0	0.00	959	97.16	987
Putnam	770	95.53	33	4.09	2	0.25	1	0.12	0	0.00	737	91.44	806
Quitman	239	98.35	0	0.00	4	1.65	0	0.00	0	0.00	235	96.71	243
Rabun	893	91.22	78	7.97	6	0.61	1	0.10	1	0.10	815	83.25	979
Randolph	1344	97.18	31	2.24	8	0.58	0	0.00	0	0.00	1313	94.94	1383
Richmond	4873	85.58	738	12.96	27	0.47	53	0.93	3	0.05	4135	72.62	5694
Rockdale	461	95.45	18	3.73	4	0.83	0	0.00	0	0.00	443	91.72	483
Schley	398	97.55	8	1.96	2	0.49	0	0.00	0	0.00	390	95.59	408
Screven	508	91.20	46	8.26	3	0.54	0	0.00	0	0.00	462	82.94	557
Seminole	776	96.28	20	2.48	8	0.99	2	0.25	0	0.00	756	93.80	806
Spalding	2185	97.07	54	2.40	8	0.36	4	0.18	0	0.00	2131	94.67	2251
Stephens	1026	97.53	18	1.71	6	0.57	2	0.19	0	0.00	1008	95.82	1052
Stewart	588	97.03	15	2.48	3	0.50	0	0.00	0	0.00	573	94.55	606
Sumter	1619	95.69	57	3.37	16	0.95	0	0.00	0	0.00	1562	92.32	1692
Talbot	912	95.00	45	4.69	3	0.31	0	0.00	0	0.00	867	90.31	960
Taliaferro	503	99.41	3	0.59	0	0.00	0	0.00	0	0.00	500	98.81	506
Tattnall	2133	98.02	37	1.70	6	0.28	0	0.00	0	0.00	2096	96.32	2176
Taylor	685	93.58	44	6.01	1	0.14	2	0.27	0	0.00	641	87.57	732
Telfair	746	93.60	45	5.65	5	0.63	1	0.13	0	0.00	701	87.95	797
Terrell	1000	97.37	24	2.34	3	0.29	0	0.00	0	0.00	976	95.03	1027
Thomas	2607	96.20	90	3.32	9	0.33	4	0.15	0	0.00	2517	92.88	2710
Tift	1394	95.09	65	4.43	5	0.34	2	0.14	0	0.00	1329	90.65	1466
Toombs	1868	96.49	54	2.79	8	0.41	6	0.31	0	0.00	1814	93.70	1936
Towns	742	48.43	790	51.57	0	0.00	0	0.00	0	0.00	-48	-3.13	1532
Treutlen	849	95.93	36	4.07	0	0.00	0	0.00	0	0.00	813	91.86	885
Troup	2371	96.62	81	3.30	2	0.08	0	0.00	0	0.00	2290	93.32	2454
Turner	909	93.04	59	6.04	6	0.61	3	0.31	0	0.00	850	87.00	977
Twiggs	646	97.29	15	2.26	2	0.30	1	0.15	0	0.00	631	95.03	664
Union	1344	62.40	810	37.60	0	0.00	0	0.00	0	0.00	534	24.79	2154
Upson	1660	98.57	20	1.19	3	0.18	1	0.06	0	0.00	1640	97.39	1684
Walker	2255	83.80	405	15.05	22	0.82	7	0.26	2	0.07	1850	68.75	2691
Walton	2136	98.34	36	1.66	0	0.00	0	0.00	0	0.00	2100	96.69	2172
