State 1872 1876 1880 1884 1888 1892 1896 1900 1904 1908 1912 1916 1920 1924 1928 1932 1936 1940 1944 1948 1952 1956 1960
Pennsylvania	5.14858	3.82085	3.31511	3.31908	3.00731	3.1904	2.67927	2.72756	2.74917	2.68255	3.12054	2.92941	2.05115	1.77169	1.20612	1.2591	0.869896	0.882631	0.922316	0.937045	0.698542	0.699224	0.639164
Rhode_Island	21.0592	15.0223	13.6822	12.2059	9.80991	7.51935	7.30126	7.07362	5.82614	5.5312	6.41897	5.69372	2.97653	2.37965	2.10798	1.5028	1.28544	1.24553	1.33656	1.22062	0.965023	1.03197	0.986351
South_Carolina	7.33352	3.83177	4.09479	9.69701	11.2504	12.7652	13.0552	17.7123	16.3286	13.5585	17.8748	14.073	13.4714	17.7333	13.1186	7.66231	6.93018	8.01345	7.73881	5.61124	2.34545	2.66149	2.06885
South_Dakota	0	0	0	0	0	5.6727	4.82218	4.16129	3.94496	3.48508	4.2983	3.87771	2.74368	2.45257	1.90938	1.38678	1.3492	1.2969	1.72357	1.59933	1.35924	1.36121	1.30511
Tennessee	6.70218	5.38737	4.94177	4.61577	3.95134	4.51583	3.73945	4.3818	4.94336	4.66599	4.76317	4.40868	2.79964	3.99634	3.30148	2.81866	2.30831	2.10396	2.34975	2.1807	1.23242	1.17096	1.04583
Texas	6.86141	5.3492	3.30953	3.99625	3.63623	3.55328	2.75337	3.54019	7.69204	6.12751	6.5548	5.3696	4.1098	3.04178	2.82088	2.66381	2.72679	2.0453	1.99942	1.84062	1.1561	1.22728	1.03847
Utah	0	0	0	0	0	0	3.84029	3.21926	2.95066	2.7621	3.55916	2.79435	2.74296	2.54793	2.26497	1.93631	1.84606	1.61408	1.61083	1.44768	1.21376	1.19762	1.06749
Vermont	9.43751	7.74556	7.66835	6.73388	6.11134	7.16896	6.26497	7.11591	7.7089	7.593	6.36526	6.20395	4.44637	3.88662	2.95877	2.1901	2.08784	2.09699	2.39309	2.43147	1.95367	1.96107	1.79293
Virginia	5.93968	4.65533	5.19809	4.21086	3.94624	4.10624	4.0723	4.54187	9.20174	8.75496	8.76072	7.89343	5.19406	5.36668	3.92981	3.69199	3.2876	3.17362	2.83151	2.62369	1.93645	1.71925	1.55551
Washington	0	0	0	0	0	4.54705	4.27428	3.7201	3.44469	2.71918	2.16853	1.8373	1.75564	1.66054	1.39765	1.30121	1.1555	1.00777	0.934221	0.88392	0.816172	0.782004	0.724887
West_Virginia	8.00421	5.01771	4.43604	4.54046	3.76317	3.50715	2.97387	2.71744	2.91684	2.71207	2.97588	2.76003	1.56881	1.37066	1.24465	1.0756	0.963919	0.921578	1.11795	1.06845	0.915805	0.962891	0.954903
Wisconsin	5.20007	3.88837	3.74258	3.43927	3.10196	3.22944	2.68211	2.71186	2.93162	2.86066	3.25028	2.90741	1.85375	1.5461	1.27848	1.07642	0.953471	0.853775	0.896089	0.93985	0.746561	0.773915	0.69401
Wyoming	0	0	0	0	0	17.9264	14.2233	12.1521	9.76941	7.97679	7.09285	5.78703	5.48445	3.75469	3.62165	3.09399	2.90186	2.67284	2.96033	2.95785	2.32106	2.41688	2.13095
TOTALS:	5.65514	4.38312	4.0024	3.98603	3.52099	3.67914	3.2069	3.19344	3.51938	3.24395	3.52958	2.86461	1.98392	1.82492	1.44266	0	1.16326	1.06408	0	1.08826	0.859892	0.856157	0.780155
