County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,SOC_NUM,SOC_PCT,PHB_NUM,PHB_PCT,Margin_NUM,Margin_PCT,Total_NUM
Tom_Green,1243,88.16,92,6.52,63,4.47,12,0.85,1151,81.63,1410
Travis,3682,82.54,690,15.47,71,1.59,18,0.40,2992,67.07,4461
Trinity,906,78.44,156,13.51,91,7.88,2,0.17,750,64.94,1155
Tyler,635,92.03,24,3.48,31,4.49,0,0.00,604,87.54,690
Upshur,1346,80.36,198,11.82,121,7.22,10,0.60,1148,68.54,1675
Upton,42,85.71,6,12.24,1,2.04,0,0.00,36,73.47,49
Uvalde,728,87.29,92,11.03,13,1.56,1,0.12,636,76.26,834
Val_Verde,446,75.85,135,22.96,5,0.85,2,0.34,311,52.89,588
Van_Zandt,2040,69.60,232,7.92,648,22.11,11,0.38,1392,47.49,2931
Victoria,897,63.44,476,33.66,35,2.48,6,0.42,421,29.77,1414
Walker,763,69.17,315,28.56,24,2.18,1,0.09,448,40.62,1103
Waller,636,77.00,182,22.03,6,0.73,2,0.24,454,54.96,826
Ward,178,84.36,23,10.90,8,3.79,2,0.95,155,73.46,211
Washington,1119,46.03,1306,53.72,3,0.12,3,0.12,-187,-7.69,2431
Webb,676,58.89,472,41.11,0,0.00,0,0.00,204,17.77,1148
Wharton,948,67.67,351,25.05,85,6.07,17,1.21,597,42.61,1401
Wheeler,554,79.14,56,8.00,83,11.86,7,1.00,471,67.29,700
Wichita,2108,81.80,347,13.47,94,3.65,28,1.09,1761,68.34,2577
Wilbarger,1242,85.13,99,6.79,116,7.95,2,0.14,1126,77.18,1459
Willacy,110,91.67,10,8.33,0,0.00,0,0.00,100,83.33,120
Williamson,2701,78.27,656,19.01,80,2.32,14,0.41,2045,59.26,3451
Wilson,869,69.41,346,27.64,30,2.40,7,0.56,523,41.77,1252
Winkler,21,100.00,0,0.00,0,0.00,0,0.00,21,100.00,21
Wise,2023,82.57,263,10.73,9,0.37,155,6.33,1760,71.84,2450
Wood,1719,71.77,248,10.35,416,17.37,12,0.50,1303,54.41,2395
Yoakum,85,97.70,1,1.15,1,1.15,0,0.00,84,96.55,87
Young,1175,84.65,71,5.12,71,5.12,71,5.12,1104,79.54,1388
Zapata,26,10.83,214,89.17,0,0.00,0,0.00,-188,-78.33,240
Zavala,229,78.69,43,14.78,17,5.84,2,0.69,186,63.92,291
Bailey,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0
Cochran,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0
Hockley,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0
Totals,286415,76.93,64999,17.46,18963,5.09,1929,0.52,221416,59.47,372306
