County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,OTH_PCT,OTH_NUM,Total_NUM
Hays,50.2,29638,48.1,28431,1.7,983,59052
Hemphill,85.7,1345,13.8,216,0.6,9,1570
Henderson,71.9,20857,27.3,7913,0.8,223,28993
Hidalgo,30.3,39668,69.0,90261,0.7,855,130784
Hill,70.2,9264,28.9,3811,0.9,113,13188
Hockley,75.8,5795,23.5,1797,0.7,53,7645
Hood,76.6,17299,22.5,5087,0.9,210,22596
Hopkins,72.0,9299,27.3,3530,0.7,90,12919
Houston,68.1,5872,30.8,2656,1.1,96,8624
Howard,72.5,7029,26.3,2545,1.2,115,9689
Hudspeth,51.0,458,47.9,430,1.1,10,898
Hunt,69.7,20573,29.1,8594,1.2,357,29524
Hutchinson,84.0,7361,15.1,1322,0.9,78,8761
Irion,78.8,644,20.1,164,1.1,9,817
Jack,83.6,2528,15.5,470,0.8,25,3023
Jackson,73.6,3723,25.7,1301,0.7,33,5057
Jasper,70.6,9022,28.6,3658,0.8,96,12776
Jeff_Davis,60.6,749,37.9,468,1.5,19,1236
Jefferson,48.6,42905,50.8,44888,0.6,503,88296
Jim_Hogg,26.0,472,73.6,1336,0.4,7,1815
Jim_Wells,41.7,4841,57.8,6706,0.6,65,11612
Johnson,73.3,36685,25.8,12912,0.9,453,50050
Jones,72.4,4203,26.3,1528,1.3,77,5808
Karnes,60.4,2736,38.9,1760,0.7,31,4527
Kaufman,67.5,23735,31.8,11161,0.7,249,35145
Kendall,77.5,12971,21.5,3599,1.1,176,16746
Kenedy,46.5,94,53.5,108,0.0,0,202
Kent,76.3,342,22.1,99,1.6,7,448
Kerr,74.3,16752,24.7,5570,1.0,234,22556
Kimble,80.7,1487,18.6,342,0.8,14,1843
King,92.6,151,4.9,8,2.5,4,163
Kinney,58.5,907,40.8,633,0.7,11,1551
Kleberg,46.0,4540,53.2,5256,0.8,80,9876
Knox,72.1,986,26.8,367,1.1,15,1368
Lamar,70.5,12952,28.6,5243,0.9,167,18362
Lamb,73.9,3344,25.5,1156,0.6,25,4525
Lampasas,74.0,5651,24.9,1903,1.0,80,7634
La_Salle,40.2,714,59.2,1052,0.6,10,1776
Lavaca,76.5,6293,22.7,1869,0.7,61,8223
Lee,67.6,4312,31.4,2000,1.0,65,6377
Leon,79.1,5566,20.1,1418,0.8,57,7041
Liberty,71.4,15448,27.7,5991,0.9,187,21626
Limestone,66.4,5079,32.9,2516,0.7,57,7652
Lipscomb,87.0,1093,12.3,155,0.6,8,1256
Live_Oak,74.1,3095,25.1,1048,0.8,33,4176
Llano,75.6,7281,23.4,2250,1.0,98,9629
Loving,84.8,67,15.2,12,0.0,0,79
Lubbock,68.0,66304,31.3,30486,0.8,744,97534
Lynn,69.6,1473,29.6,627,0.8,16,2116
Madison,71.0,2891,28.1,1146,0.9,37,4074
Marion,60.4,2567,38.7,1644,1.0,41,4252
Martin,81.0,1389,18.3,314,0.7,12,1715
Mason,72.8,1544,25.7,546,1.5,31,2121
Matagorda,63.3,7835,35.9,4440,0.8,98,12373
Maverick,21.2,2316,78.2,8554,0.6,69,10939
McCulloch,75.2,2263,24.2,728,0.6,19,3010
Mclennan,61.6,49044,37.7,29998,0.8,632,79674
McMullen,74.5,400,24.6,132,0.9,5,537
Medina,66.6,10480,32.7,5147,0.7,110,15737
Menard,69.9,712,29.0,295,1.1,11,1018
Midland,78.2,36155,21.0,9691,0.8,370,46216
Milam,62.4,5217,36.4,3044,1.1,96,8357
Mills,80.5,1753,18.3,398,1.2,26,2177
Mitchell,74.7,1815,24.1,586,1.2,30,2431
Montague,78.6,6245,20.1,1597,1.4,108,7950
Montgomery,75.9,119884,23.3,36703,0.8,1260,157847
Moore,78.8,4282,20.7,1123,0.6,32,5437
Morris,60.2,3158,39.2,2055,0.7,35,5248
Motley,87.9,522,11.3,67,0.8,5,594
Nacogdoches,63.4,14828,35.9,8393,0.7,170,23391
Navarro,66.2,10810,33.1,5400,0.7,111,16321
Newton,65.5,3446,33.3,1751,1.2,63,5260
Nolan,68.8,3485,30.0,1521,1.1,57,5063
Nueces,51.8,52391,47.3,47912,0.9,927,101230
Ochiltree,91.7,2851,7.8,243,0.5,15,3109
Oldham,88.4,813,11.1,102,0.5,5,920
Orange,73.1,21509,26.0,7646,0.9,251,29406
Palo_Pinto,73.4,7264,25.3,2499,1.3,127,9890
Panola,74.2,7582,25.3,2586,0.5,48,10216
Parker,77.1,36974,21.9,10502,1.0,475,47951
Parmer,80.0,2969,19.4,719,0.7,25,3713
Pecos,61.8,2480,36.8,1476,1.3,54,4010
Polk,68.1,13731,30.9,6230,0.9,188,20149
Potter,69.2,20761,29.8,8939,1.0,313,30013
Presidio,27.8,489,71.3,1252,0.9,16,1757
Rains,74.3,3146,24.7,1048,1.0,42,4236
Randall,80.9,41948,18.3,9468,0.8,416,51832
Reagan,80.0,795,19.8,197,0.2,2,994
Real,76.0,1238,23.0,375,0.9,15,1628
Red_River,68.5,3461,30.5,1539,1.0,52,5052
Reeves,47.0,1445,52.2,1606,0.8,26,3077
Refugio,56.9,1855,42.4,1382,0.7,24,3261
Roberts,92.1,477,7.9,41,0.0,0,518
Robertson,59.3,3980,39.9,2675,0.8,55,6710
Rockwall,72.7,23300,26.5,8492,0.9,274,32066
Runnels,80.6,3118,18.6,720,0.7,29,3867
Rusk,72.9,13646,26.6,4983,0.5,93,18722
Sabine,76.9,3749,22.1,1077,1.0,48,4874
San_Augustine,63.0,2342,35.7,1328,1.2,45,3715
San_Jacinto,68.7,6151,30.4,2721,1.0,86,8958
San_Patricio,58.0,12404,41.4,8854,0.6,138,21396
San_Saba,79.0,1941,19.8,487,1.2,29,2457
Schleicher,74.4,970,24.8,324,0.8,10,1304
Scurry,79.3,4414,19.5,1088,1.2,67,5569
Shackelford,85.3,1284,13.8,208,0.9,13,1505
Shelby,71.9,6630,27.6,2548,0.5,42,9220
Sherman,86.7,884,12.5,127,0.9,9,1020
Smith,69.4,55187,29.8,23726,0.8,648,79561
Somervell,75.8,2677,22.6,799,1.6,57,3533
Starr,15.2,1492,84.5,8274,0.3,26,9792
Stephens,81.4,2869,17.8,626,0.9,31,3526
Sterling,84.0,520,15.7,97,0.3,2,619
Stonewall,71.3,524,28.0,206,0.7,5,735
Sutton,75.3,1189,24.1,381,0.5,8,1578
Swisher,66.4,1683,32.1,813,1.5,39,2535
Tarrant,55.4,348420,43.7,274880,0.8,5253,628553
Taylor,72.3,34317,26.8,12690,0.9,432,47439
Terrell,62.2,323,35.8,186,1.9,10,519
Terry,67.3,2879,32.2,1379,0.5,22,4280
Throckmorton,80.1,671,19.8,166,0.1,1,838
Titus,65.2,6028,34.0,3145,0.8,72,9245
Tom_Green,70.4,27362,28.7,11158,0.9,341,38861
Travis,34.4,136981,63.9,254017,1.7,6716,397714
Trinity,67.4,4095,31.7,1925,0.9,57,6077
Tyler,71.4,5644,27.4,2166,1.3,100,7910
Upshur,74.0,11222,25.0,3790,1.0,152,15164
Upton,75.0,898,24.1,288,0.9,11,1197
Uvalde,52.4,4590,47.1,4126,0.6,50,8766
Val_Verde,44.9,5752,54.5,6982,0.7,86,12820
Van_Zandt,77.1,15734,22.1,4505,0.8,156,20395
Victoria,66.4,19878,32.8,9832,0.7,221,29931
Walker,60.7,11623,38.3,7334,1.0,189,19146
Waller,53.3,8265,46.1,7153,0.6,90,15508
Ward,74.0,2667,25.0,899,1.0,36,3602
Washington,70.8,10176,28.1,4034,1.2,167,14377
Webb,28.0,13119,71.4,33452,0.5,250,46821
Wharton,65.4,9431,34.2,4937,0.3,50,14418
Wheeler,85.4,1918,14.0,314,0.6,13,2245
Wichita,69.0,31731,30.2,13868,0.8,383,45982
Wilbarger,72.8,3283,26.5,1196,0.7,30,4509
Willacy,29.7,1456,69.5,3409,0.8,38,4903
Williamson,55.8,88323,42.7,67691,1.5,2389,158403
Wilson,66.6,10904,32.8,5362,0.6,100,16366
Winkler,75.2,1529,23.5,477,1.3,26,2032
Wise,77.4,15973,21.7,4471,0.9,195,20639
Wood,76.8,13658,22.5,4010,0.7,116,17784
Yoakum,80.9,1989,18.3,450,0.8,19,2458
Young,81.3,5942,17.8,1303,0.8,60,7305
Zapata,32.1,919,67.7,1939,0.3,8,2866
Zavala,15.4,596,84.2,3263,0.4,17,3876
