County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Childress,1578,60.09,1043,39.72,5,0.19,535,20.37,2626
Clay,2568,67.88,1200,31.72,15,0.40,1368,36.16,3783
Cochran,1031,59.29,701,40.31,7,0.40,330,18.98,1739
Coke,844,61.29,517,37.55,16,1.16,327,23.75,1377
Coleman,2264,57.24,1669,42.20,22,0.56,595,15.04,3955
Collin,14039,39.00,21608,60.02,353,0.98,-7569,-21.03,36000
Collingsworth,1169,64.80,629,34.87,6,0.33,540,29.93,1804
Colorado,3028,49.84,2991,49.23,56,0.92,37,0.61,6075
Comal,4068,38.54,6377,60.42,109,1.03,-2309,-21.88,10554
Comanche,3414,72.16,1297,27.41,20,0.42,2117,44.75,4731
Concho,715,59.83,474,39.67,6,0.50,241,20.17,1195
Cooke,4483,48.05,4804,51.50,42,0.45,-321,-3.44,9329
Coryell,4710,52.75,4140,46.37,79,0.88,570,6.38,8929
Cottle,1047,76.93,311,22.85,3,0.22,736,54.08,1361
Crane,664,39.52,963,57.32,53,3.15,-299,-17.80,1680
Crockett,804,50.00,802,49.88,2,0.12,2,0.12,1608
Crosby,2176,70.38,897,29.01,19,0.61,1279,41.36,3092
Culberson,407,51.72,373,47.40,7,0.89,34,4.32,787
Dallam,1029,51.27,936,46.64,42,2.09,93,4.63,2007
Dallas,196303,42.27,263081,56.65,5001,1.08,-66778,-14.38,464385
Dawson,2162,46.46,2474,53.17,17,0.37,-312,-6.71,4653
Deaf_Smith,2613,48.08,2776,51.08,46,0.85,-163,-3.00,5435
Delta,1563,78.50,421,21.15,7,0.35,1142,57.36,1991
Denton,18887,47.58,20440,51.50,365,0.92,-1553,-3.91,39692
Dewitt,2540,47.68,2754,51.70,33,0.62,-214,-4.02,5327
Dickens,1222,77.78,343,21.83,6,0.38,879,55.95,1571
Dimmit,1721,65.59,890,33.92,13,0.50,831,31.67,2624
Donley,1095,60.70,704,39.02,5,0.28,391,21.67,1804
Duval,4267,86.36,661,13.38,13,0.26,3606,72.98,4941
Eastland,4320,64.53,2340,34.95,35,0.52,1980,29.57,6695
Ector,10802,35.62,18973,62.56,553,1.82,-8171,-26.94,30328
Edwards,258,38.39,412,61.31,2,0.30,-154,-22.92,672
Ellis,9991,58.58,6996,41.02,68,0.40,2995,17.56,17055
El_Paso,45477,50.83,42697,47.72,1291,1.44,2780,3.11,89465
Erath,4821,61.89,2925,37.55,44,0.56,1896,24.34,7790
Falls,4277,65.13,2261,34.43,29,0.44,2016,30.70,6567
Fannin,5845,73.20,2102,26.32,38,0.48,3743,46.88,7985
Fayette,3428,52.80,3030,46.67,35,0.54,398,6.13,6493
Fisher,1993,77.37,573,22.24,10,0.39,1420,55.12,2576
Floyd,1991,58.32,1402,41.07,21,0.62,589,17.25,3414
Foard,706,74.32,240,25.26,4,0.42,466,49.05,950
Fort_Bend,11264,39.13,17354,60.28,169,0.59,-6090,-21.16,28787
Franklin,1636,68.05,758,31.53,10,0.42,878,36.52,2404
Freestone,2679,61.43,1674,38.39,8,0.18,1005,23.05,4361
Frio,2598,66.48,1280,32.75,30,0.77,1318,33.73,3908
Gaines,1880,53.05,1643,46.36,21,0.59,237,6.69,3544
Galveston,37873,59.42,25251,39.62,611,0.96,12622,19.80,63735
Garza,957,55.48,755,43.77,13,0.75,202,11.71,1725
Gillespie,1260,25.79,3541,72.49,84,1.72,-2281,-46.69,4885
Glasscock,190,46.00,218,52.78,5,1.21,-28,-6.78,413
Goliad,875,50.55,846,48.87,10,0.58,29,1.68,1731
Gonzales,3219,64.05,1789,35.59,18,0.36,1430,28.45,5026
Gray,3872,38.87,6010,60.33,80,0.80,-2138,-21.46,9962
Grayson,17015,58.48,11981,41.18,99,0.34,5034,17.30,29095
Gregg,9827,35.59,17582,63.68,203,0.74,-7755,-28.09,27612
Grimes,2656,64.03,1473,35.51,19,0.46,1183,28.52,4148
Guadalupe,6054,46.80,6766,52.31,115,0.89,-712,-5.50,12935
Hale,5580,50.70,5390,48.97,37,0.34,190,1.73,11007
Hall,1633,70.57,671,29.00,10,0.43,962,41.57,2314
Hamilton,1981,62.12,1176,36.88,32,1.00,805,25.24,3189
Hansford,983,40.86,1401,58.23,22,0.91,-418,-17.37,2406
Hardeman,1403,63.06,805,36.18,17,0.76,598,26.88,2225
Hardin,6558,61.36,4046,37.86,84,0.79,2512,23.50,10688
Harris,321897,46.97,357536,52.17,5831,0.85,-35639,-5.20,685264
Harrison,7796,49.85,7787,49.79,56,0.36,9,0.06,15639
Hartley,774,48.47,811,50.78,12,0.75,-37,-2.32,1597
Haskell,2512,74.78,838,24.95,9,0.27,1674,49.84,3359
Hays,7005,54.41,5714,44.38,156,1.21,1291,10.03,12875
Hemphill,707,44.80,858,54.37,13,0.82,-151,-9.57,1578
Henderson,8245,63.73,4658,36.01,34,0.26,3587,27.73,12937
Hidalgo,35021,64.15,19199,35.17,373,0.68,15822,28.98,54593
Hill,5327,66.32,2680,33.37,25,0.31,2647,32.96,8032
Hockley,3949,55.39,3137,44.00,44,0.62,812,11.39,7130
Hood,3181,62.85,1857,36.69,23,0.45,1324,26.16,5061
Hopkins,4992,65.75,2556,33.67,44,0.58,2436,32.09,7592
Houston,3179,58.64,2229,41.12,13,0.24,950,17.52,5421
Howard,6984,58.34,4899,40.92,89,0.74,2085,17.42,11972
Hudspeth,479,54.37,395,44.84,7,0.79,84,9.53,881
Hunt,8543,55.79,6676,43.59,95,0.62,1867,12.19,15314
Hutchinson,3691,37.16,6137,61.78,105,1.06,-2446,-24.62,9933
Irion,297,49.17,302,50.00,5,0.83,-5,-0.83,604
Jack,1814,63.18,1049,36.54,8,0.28,765,26.65,2871
Jackson,2524,56.94,1884,42.50,25,0.56,640,14.44,4433
Jasper,5422,63.00,3167,36.80,18,0.21,2255,26.20,8607
Jeff_Davis,309,50.91,288,47.45,10,1.65,21,3.46,607
Jefferson,47581,59.07,32451,40.29,514,0.64,15130,18.78,80546
Jim_Hogg,1645,79.32,429,20.68,0,0.00,1216,58.63,2074
Jim_Wells,7961,68.93,3547,30.71,42,0.36,4414,38.22,11550
Johnson,10864,59.93,7194,39.69,69,0.38,3670,20.25,18127
Jones,3318,61.26,2072,38.26,26,0.48,1246,23.01,5416
Karnes,2996,63.50,1675,35.50,47,1.00,1321,28.00,4718
Kaufman,6302,61.76,3867,37.90,35,0.34,2435,23.86,10204
Kendall,1190,31.37,2543,67.04,60,1.58,-1353,-35.67,3793
Kenedy,139,67.80,65,31.71,1,0.49,74,36.10,205
Kent,474,73.26,171,26.43,2,0.31,303,46.83,647
Kerr,3767,37.75,6021,60.34,190,1.90,-2254,-22.59,9978
Kimble,759,46.51,846,51.84,27,1.65,-87,-5.33,1632
King,100,50.76,96,48.73,1,0.51,4,2.03,197
Kinney,516,61.21,318,37.72,9,1.07,198,23.49,843
Kleberg,5803,60.15,3771,39.09,73,0.76,2032,21.06,9647
Knox,1498,72.72,551,26.75,11,0.53,947,45.97,2060
Lamar,8601,65.78,4443,33.98,32,0.24,4158,31.80,13076
Lamb,3374,58.02,2413,41.50,28,0.48,961,16.53,5815
Lampasas,2376,59.67,1563,39.25,43,1.08,813,20.42,3982
La_Salle,1294,65.25,677,34.14,12,0.61,617,31.11,1983
Lavaca,3458,57.98,2466,41.35,40,0.67,992,16.63,5964
Lee,1937,58.64,1348,40.81,18,0.54,589,17.83,3303
Leon,2085,63.94,1161,35.60,15,0.46,924,28.33,3261
Liberty,7086,60.54,4552,38.89,66,0.56,2534,21.65,11704
Limestone,3825,64.83,2045,34.66,30,0.51,1780,30.17,5900
Lipscomb,644,41.05,911,58.06,14,0.89,-267,-17.02,1569
Live_Oak,1656,55.93,1287,43.47,18,0.61,369,12.46,2961
Llano,2361,54.60,1947,45.03,16,0.37,414,9.57,4324
Loving,35,40.70,47,54.65,4,4.65,-12,-13.95,86
Lubbock,24797,38.92,38478,60.40,432,0.68,-13681,-21.47,63707
Lynn,1575,57.13,1166,42.29,16,0.58,409,14.83,2757
McCulloch,1888,58.87,1300,40.54,19,0.59,588,18.33,3207
McLennan,30091,53.76,25370,45.33,509,0.91,4721,8.43,55970
McMullen,194,47.20,217,52.80,0,0.00,-23,-5.60,411
Madison,1885,63.66,1062,35.87,14,0.47,823,27.79,2961
Marion,1860,58.73,1291,40.76,16,0.51,569,17.97,3167
Martin,907,56.06,698,43.14,13,0.80,209,12.92,1618
Mason,814,49.63,805,49.09,21,1.28,9,0.55,1640
Matagorda,4971,56.94,3679,42.14,81,0.93,1292,14.80,8731
Maverick,2840,74.70,924,24.30,38,1.00,1916,50.39,3802
Medina,3681,52.68,3252,46.54,55,0.79,429,6.14,6988
Menard,543,54.30,441,44.10,16,1.60,102,10.20,1000
Midland,7725,28.41,19178,70.52,292,1.07,-11453,-42.11,27195
Milam,4871,66.59,2404,32.86,40,0.55,2467,33.73,7315
Mills,1012,59.18,684,40.00,14,0.82,328,19.18,1710
Mitchell,1730,61.70,1058,37.73,16,0.57,672,23.97,2804
Montague,4087,64.93,2182,34.67,25,0.40,1905,30.27,6294
Montgomery,13718,46.25,15739,53.07,202,0.68,-2021,-6.81,29659
Moore,2767,49.63,2759,49.49,49,0.88,8,0.14,5575
Morris,3071,62.28,1843,37.38,17,0.34,1228,24.90,4931
Motley,522,54.32,428,44.54,11,1.14,94,9.78,961
Nacogdoches,6697,47.36,7315,51.73,129,0.91,-618,-4.37,14141
Navarro,6995,63.20,4012,36.25,61,0.55,2983,26.95,11068
Newton,3468,77.03,1011,22.46,23,0.51,2457,54.58,4502
Nolan,3094,55.80,2431,43.84,20,0.36,663,11.96,5545
Nueces,52755,61.11,32797,37.99,773,0.90,19958,23.12,86325
Ochiltree,1084,30.22,2471,68.89,32,0.89,-1387,-38.67,3587
Oldham,554,60.81,354,38.86,3,0.33,200,21.95,911
Orange,15177,61.99,9147,37.36,160,0.65,6030,24.63,24484
Palo_Pinto,5170,65.40,2684,33.95,51,0.65,2486,31.45,7905
Panola,3731,53.48,3218,46.12,28,0.40,513,7.35,6977
Parker,8186,63.12,4692,36.18,91,0.70,3494,26.94,12969
Parmer,1914,56.01,1487,43.52,16,0.47,427,12.50,3417
Pecos,1971,46.56,2234,52.78,28,0.66,-263,-6.21,4233
Polk,4384,62.93,2529,36.30,54,0.78,1855,26.63,6967
Potter,11917,45.77,13819,53.08,300,1.15,-1902,-7.31,26036
Presidio,1232,63.64,687,35.49,17,0.88,545,28.15,1936
Rains,1339,72.18,510,27.49,6,0.32,829,44.69,1855
Randall,9074,34.21,17115,64.53,335,1.26,-8041,-30.32,26524
Reagan,563,45.62,666,53.97,5,0.41,-103,-8.35,1234
Real,510,52.63,448,46.23,11,1.14,62,6.40,969
Red_River,3670,66.33,1852,33.47,11,0.20,1818,32.86,5533
Reeves,2613,60.18,1711,39.41,18,0.41,902,20.77,4342
Refugio,2218,58.91,1537,40.82,10,0.27,681,18.09,3765
Roberts,202,35.94,350,62.28,10,1.78,-148,-26.33,562
Robertson,3741,74.88,1244,24.90,11,0.22,2497,49.98,4996
Rockwall,1828,46.44,2087,53.02,21,0.53,-259,-6.58,3936
Runnels,2068,48.30,2203,51.45,11,0.26,-135,-3.15,4282
Rusk,6063,46.95,6800,52.65,52,0.40,-737,-5.71,12915
Sabine,2391,72.54,904,27.43,1,0.03,1487,45.12,3296
San_Augustine,1817,63.31,1047,36.48,6,0.21,770,26.83,2870
San_Jacinto,2406,68.18,1094,31.00,29,0.82,1312,37.18,3529
San_Patricio,9469,61.51,5853,38.02,73,0.47,3616,23.49,15395
San_Saba,1408,70.22,582,29.03,15,0.75,826,41.20,2005
Schleicher,468,47.13,516,51.96,9,0.91,-48,-4.83,993
Scurry,2639,48.34,2797,51.24,23,0.42,-158,-2.89,5459
Shackelford,764,50.33,748,49.28,6,0.40,16,1.05,1518
Shelby,4680,63.35,2695,36.48,12,0.16,1985,26.87,7387
Sherman,718,50.71,679,47.95,19,1.34,39,2.75,1416
Smith,16856,42.92,22238,56.62,181,0.46,-5382,-13.70,39275
Somervell,1054,75.77,332,23.87,5,0.36,722,51.91,1391
Starr,4646,87.25,664,12.47,15,0.28,3982,74.78,5325
Stephens,1796,52.38,1621,47.27,12,0.35,175,5.10,3429
Sterling,174,45.67,202,53.02,5,1.31,-28,-7.35,381
Stonewall,812,75.89,252,23.55,6,0.56,560,52.34,1070
Sutton,768,47.73,831,51.65,10,0.62,-63,-3.92,1609
Swisher,2811,78.59,753,21.05,13,0.36,2058,57.53,3577
Tarrant,122287,49.18,124433,50.05,1911,0.77,-2146,-0.86,248631
Taylor,14453,41.84,19822,57.38,268,0.78,-5369,-15.54,34543
Terrell,321,50.00,317,49.38,4,0.62,4,0.62,642
Terry,2859,57.17,2113,42.25,29,0.58,746,14.92,5001
Throckmorton,658,64.76,356,35.04,2,0.20,302,29.72,1016
Titus,4205,61.64,2603,38.16,14,0.21,1602,23.48,6822
Tom_Green,11064,46.97,12316,52.29,174,0.74,-1252,-5.32,23554
Travis,78585,51.63,71031,46.67,2597,1.71,7554,4.96,152213
Trinity,2100,66.58,1042,33.04,12,0.38,1058,33.54,3154
Tyler,3322,62.47,1965,36.95,31,0.58,1357,25.52,5318
Upshur,4902,59.70,3272,39.85,37,0.45,1630,19.85,8211
Upton,686,43.95,869,55.67,6,0.38,-183,-11.72,1561
Uvalde,2299,42.19,3103,56.95,47,0.86,-804,-14.76,5449
Val_Verde,4603,56.46,3476,42.64,73,0.90,1127,13.82,8152
Van_Zandt,6449,65.15,3385,34.20,64,0.65,3064,30.96,9898
Victoria,7326,43.02,9594,56.34,108,0.63,-2268,-13.32,17028
Walker,5105,50.19,4974,48.90,92,0.90,131,1.29,10171
Waller,2828,58.17,1992,40.97,42,0.86,836,17.19,4862
Ward,2046,48.51,2123,50.33,49,1.16,-77,-1.83,4218
Washington,2635,40.54,3820,58.77,45,0.69,-1185,-18.23,6500
Webb,10362,70.50,4222,28.72,114,0.78,6140,41.77,14698
Wharton,5914,55.56,4682,43.99,48,0.45,1232,11.57,10644
Wheeler,1598,55.33,1273,44.08,17,0.59,325,11.25,2888
Wichita,22017,53.35,19024,46.10,225,0.55,2993,7.25,41266
Wilbarger,3280,59.90,2145,39.17,51,0.93,1135,20.73,5476
Willacy,2984,65.48,1542,33.84,31,0.68,1442,31.64,4557
Williamson,9355,55.00,7481,43.98,174,1.02,1874,11.02,17010
Wilson,3973,67.32,1926,32.63,3,0.05,2047,34.68,5902
Winkler,1382,42.31,1842,56.40,42,1.29,-460,-14.08,3266
Wise,5133,64.06,2856,35.64,24,0.30,2277,28.42,8013
Wood,4107,56.84,3076,42.57,43,0.60,1031,14.27,7226
Yoakum,1181,44.07,1477,55.11,22,0.82,-296,-11.04,2680
Young,3473,56.33,2652,43.01,41,0.66,821,13.31,6166
Zapata,1216,72.29,462,27.47,4,0.24,754,44.83,1682
Zavala,1822,70.67,735,28.51,21,0.81,1087,42.16,2578
Totals,2082319,51.14,1953300,47.97,36265,0.89,129019,3.17,4071884
