County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,AIP_NUM,AIP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Nolan,2784,46.88,1969,33.16,1185,19.96,0,0,815,13.72,5938
Nueces,39025,57.82,21307,31.57,7159,10.61,0,0,17718,26.25,67491
Ochiltree,432,13.79,2208,70.50,492,15.71,0,0,1716,54.79,3132
Oldham,237,30.08,320,40.61,230,29.19,1,0.13,-83,-10.53,788
Orange,6485,30.57,5886,27.74,8845,41.69,0,0,-2360,-11.12,21216
Palo_Pinto,3552,47.77,2627,35.33,1257,16.90,0,0,925,12.44,7436
Panola,1711,28.77,1586,26.67,2650,44.56,0,0,-939,-15.79,5947
Parker,4301,46.23,3068,32.98,1934,20.79,0,0,1233,13.25,9303
Parmer,833,26.85,1539,49.61,730,23.53,0,0,-706,-22.76,3102
Pecos,1592,39.61,1524,37.92,900,22.39,3,0.07,68,1.69,4019
Polk,1841,40.31,1013,22.18,1712,37.49,1,0.02,129,2.82,4567
Potter,8238,30.43,13338,49.27,5486,20.26,10,0.04,-5100,-18.84,27072
Presidio,969,61.25,481,30.40,132,8.34,0,0,488,30.85,1582
Rains,558,46.35,340,28.24,306,25.42,0,0,218,18.11,1204
Randall,4060,21.84,11400,61.32,3128,16.82,4,0.02,-7340,-39.48,18592
Reagan,370,33.27,454,40.83,288,25.90,0,0,-84,-7.56,1112
Real,277,39.40,290,41.25,136,19.35,0,0,-13,-1.85,703
Red_River,2245,43.99,1305,25.57,1554,30.45,0,0,691,13.54,5104
Reeves,1456,41.49,1310,37.33,743,21.17,0,0,146,4.16,3509
Refugio,1699,51.50,1114,33.77,486,14.73,0,0,585,17.73,3299
Roberts,90,17.51,311,60.51,113,21.98,0,0,198,38.53,514
Robertson,2833,59.74,965,20.35,944,19.91,0,0,1868,39.39,4742
Rockwall,778,39.39,614,31.09,582,29.47,1,0.05,164,8.30,1975
Runnels,1448,37.88,1707,44.65,668,17.47,0,0,-259,-6.77,3823
Rusk,4078,32.50,3739,29.80,4729,37.69,0,0,-651,-5.19,12546
Sabine,1078,43.68,455,18.44,935,37.88,0,0,143,5.80,2468
San_Augustine,817,33.21,506,20.57,1137,46.22,0,0,-320,-13.01,2460
San_Jacinto,1235,53.49,381,16.50,693,30.01,0,0,542,23.48,2309
San_Patricio,6818,54.94,3717,29.95,1876,15.12,0,0,3101,24.99,12411
San_Saba,1140,53.27,535,25.00,465,21.73,0,0,605,28.27,2140
Schleicher,378,39.71,396,41.60,178,18.70,0,0,-18,-1.89,952
Scurry,2031,41.78,1745,35.90,1084,22.30,1,0.02,286,5.88,4861
Shackelford,673,44.66,557,36.96,277,18.38,0,0,116,7.70,1507
Shelby,2511,36.27,1127,16.28,3285,47.45,0,0,-774,-11.18,6923
Sherman,297,21.28,723,51.79,376,26.93,0,0,347,24.86,1396
Smith,8897,29.10,12079,39.51,9595,31.39,0,0,2484,8.12,30571
Somervell,384,42.62,313,34.74,204,22.64,0,0,71,7.88,901
Starr,3922,73.08,1374,25.60,71,1.32,0,0,2548,47.48,5367
Stephens,1239,40.61,1287,42.18,525,17.21,0,0,-48,-1.57,3051
Sterling,151,40.27,170,45.33,54,14.40,0,0,-19,-5.06,375
Stonewall,635,57.21,213,19.19,262,23.60,0,0,373,33.61,1110
Sutton,351,38.57,412,45.27,147,16.15,0,0,-61,-6.70,910
Swisher,1760,49.44,1177,33.06,623,17.50,0,0,583,16.38,3560
Tarrant,79705,41.79,81786,42.88,29256,15.34,0,0,-2081,-1.09,190747
Taylor,9107,35.54,12218,47.68,4289,16.74,12,0.05,-3111,-12.14,25626
Terrell,201,33.44,250,41.60,149,24.79,1,0.17,-49,-8.16,601
Terry,1625,36.71,1948,44.00,854,19.29,0,0,-323,-7.29,4427
Throckmorton,618,58.25,317,29.88,126,11.88,0,0,301,28.37,1061
Titus,2317,40.12,1572,27.22,1886,32.66,0,0,431,7.46,5775
Tom_Green,6774,34.67,9682,49.56,3074,15.74,6,0.03,-2908,-14.89,19536
Travis,39667,48.07,34309,41.58,8424,10.21,120,0.15,5358,6.49,82520
Trinity,1146,41.24,636,22.89,997,35.88,0,0,149,5.36,2779
Tyler,1204,31.80,1120,29.58,1462,38.62,0,0,-258,-6.82,3786
Upshur,2480,36.02,1519,22.06,2886,41.92,0,0,-406,-5.90,6885
Upton,463,29.19,664,41.87,459,28.94,0,0,-201,-12.68,1586
Uvalde,1736,36.48,2252,47.32,768,16.14,3,0.06,-516,-10.84,4759
Val_Verde,3205,56.25,1914,33.59,573,10.06,6,0.11,1291,22.66,5698
Van_Zandt,2706,40.08,1954,28.94,2091,30.97,0,0,615,9.11,6751
Victoria,6042,41.02,6352,43.12,2336,15.86,0,0,-310,-2.10,14730
Walker,2391,41.30,1946,33.62,1452,25.08,0,0,445,7.68,5789
Waller,1684,48.97,958,27.86,797,23.18,0,0,726,21.11,3439
Ward,1331,31.21,1552,36.39,1382,32.40,0,0,170,3.99,4265
Washington,1686,30.07,3244,57.86,677,12.07,0,0,-1558,-27.79,5607
Webb,9419,79.65,2103,17.78,304,2.57,0,0,7316,61.87,11826
Wharton,4304,43.22,3773,37.89,1882,18.90,0,0,531,5.33,9959
Wheeler,812,31.74,1176,45.97,570,22.28,0,0,-364,-14.23,2558
Wichita,15387,46.05,11937,35.72,6087,18.22,3,0.01,3450,10.33,33414
Wilbarger,1996,38.40,1909,36.73,1292,24.86,1,0.02,87,1.67,5198
Willacy,1930,53.05,1243,34.17,465,12.78,0,0,687,18.88,3638
Williamson,5528,54.61,2923,28.87,1669,16.49,3,0.03,2605,25.74,10123
Wilson,2336,55.63,1321,31.46,542,12.91,0,0,1015,24.17,4199
Winkler,938,26.21,1391,38.87,1249,34.90,1,0.03,142,3.97,3579
Wise,2774,47.31,1983,33.82,1107,18.88,0,0,791,13.49,5864
Wood,2192,35.02,2046,32.69,2020,32.27,1,0.02,146,2.33,6259
Yoakum,615,24.98,1123,45.61,724,29.41,0,0,399,16.20,2462
Young,2482,46.43,1860,34.79,1004,18.78,0,0,622,11.64,5346
Zapata,909,75.00,251,20.71,52,4.29,0,0,658,54.29,1212
Zavala,1307,59.01,693,31.29,214,9.66,1,0.05,614,27.72,2215
Totals,1266804,41.14,1227844,39.88,584269,18.97,299,0.01,38960,1.26,3079216
