County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,REG_NUM,REG_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Ward,1448,79.60,268,14.73,97,5.33,6,0.33,1180,64.87,1819
Washington,1387,34.46,534,13.27,2101,52.20,3,0.07,-714,-17.74,4025
Webb,4742,85.12,776,13.93,47,0.84,6,0.11,3966,71.19,5571
Wharton,3754,74.45,529,10.49,754,14.95,5,0.10,3000,59.50,5042
Wheeler,1869,71.47,511,19.54,228,8.72,7,0.27,1358,51.93,2615
Wichita,11392,77.94,1597,10.93,1609,11.01,18,0.12,9783,66.93,14616
Wilbarger,3382,76.53,517,11.70,513,11.61,7,0.16,2865,64.83,4419
Willacy,846,48.70,754,43.41,133,7.66,4,0.23,92,5.30,1737
Williamson,5284,71.11,1239,16.67,885,11.91,23,0.31,4045,54.43,7431
Wilson,2666,75.46,676,19.13,185,5.24,6,0.17,1990,56.33,3533
Winkler,1004,84.16,120,10.06,68,5.70,1,0.08,884,74.10,1193
Wise,3114,78.26,444,11.16,413,10.38,8,0.20,2670,67.10,3979
Wood,3045,75.35,485,12.00,503,12.45,8,0.20,2542,62.91,4041
Yoakum,646,77.00,106,12.63,86,10.25,1,0.12,540,64.36,839
Young,3183,77.37,327,7.95,596,14.49,8,0.19,2587,62.88,4114
Zapata,501,91.59,43,7.86,3,0.55,0,0.00,458,83.73,547
Zavala,696,61.65,342,30.29,90,7.97,1,0.09,354,31.36,1129
Totals,821605,71.42,191423,16.64,135411,11.77,1896,0.16,630182,54.78,1150335
